Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/11/2025 16:00:00,0,1322,0,470
11/11/2025 16:30:00,0,1358,0,499
11/11/2025 17:00:00,0,1311,0,455
11/11/2025 17:30:00,0,955,0,281
11/11/2025 18:00:00,0,1287,0,432
11/11/2025 18:30:00,0,1506,0,503
11/11/2025 19:00:00,0,1484,0,521
11/11/2025 19:30:00,0,1606,0,523
11/11/2025 20:00:00,0,1219,0,354
11/11/2025 20:30:00,0,1137,0,301
11/11/2025 21:00:00,0,1339,0,387
11/11/2025 21:30:00,0,1415,0,449
11/11/2025 22:00:00,0,1358,0,407
11/11/2025 22:30:00,0,1371,0,422
11/11/2025 23:00:00,0,1282,0,348
11/11/2025 23:30:00,0,1290,0,379
11/12/2025 00:00:00,0,1171,0,324
11/12/2025 00:30:00,0,981,0,249
11/12/2025 01:00:00,0,882,0,205
11/12/2025 01:30:00,0,1060,0,275
11/12/2025 02:00:00,0,1232,0,363
11/12/2025 02:30:00,0,1362,0,395
11/12/2025 03:00:00,0,1410,0,406
11/12/2025 03:30:00,0,1375,0,393
11/12/2025 04:00:00,0,1397,0,415
11/12/2025 04:30:00,0,1394,0,412
11/12/2025 05:00:00,0,1254,0,341
11/12/2025 05:30:00,0,1167,0,328
11/12/2025 06:00:00,0,1144,0,281
11/12/2025 06:30:00,0,816,0,198
11/12/2025 07:00:00,0,1151,0,361
11/12/2025 07:30:00,0,1226,0,355
11/12/2025 08:00:00,0,929,0,266
11/12/2025 08:30:00,0,900,0,294
11/12/2025 09:00:00,0,1219,0,411
11/12/2025 09:30:00,0,1193,0,433
11/12/2025 10:00:00,0,1229,0,446
11/12/2025 10:30:00,0,1148,0,440
11/12/2025 11:00:00,0,971,0,420
11/12/2025 11:30:00,0,894,0,389
11/12/2025 12:00:00,0,1041,0,417
11/12/2025 12:30:00,0,810,0,380
11/12/2025 13:00:00,0,762,0,342
11/12/2025 13:30:00,0,520,0,186
11/12/2025 14:00:00,0,607,0,239
11/12/2025 14:30:00,0,1070,0,450
11/12/2025 15:00:00,0,1390,0,513
11/12/2025 15:30:00,0,1381,0,461
11/12/2025 16:00:00,0,1235,0,424
11/12/2025 16:30:00,0,1358,0,458
11/12/2025 17:00:00,0,1389,0,470
11/12/2025 17:30:00,0,901,0,278
11/12/2025 18:00:00,0,1385,0,468
11/12/2025 18:30:00,0,1442,0,435
11/12/2025 19:00:00,0,1463,0,461
11/12/2025 19:30:00,0,1390,0,425
11/12/2025 20:00:00,0,1124,0,313
11/12/2025 20:30:00,0,1068,0,292
11/12/2025 21:00:00,0,1263,0,363
11/12/2025 21:30:00,0,1420,0,432
11/12/2025 22:00:00,0,1357,0,411
11/12/2025 22:30:00,0,1324,0,388
11/12/2025 23:00:00,0,1336,0,398
11/12/2025 23:30:00,0,1335,0,420
11/13/2025 00:00:00,0,1314,0,375
11/13/2025 00:30:00,0,955,0,244
11/13/2025 01:00:00,0,814,0,172
11/13/2025 01:30:00,0,990,0,265
11/13/2025 02:00:00,0,1174,0,354
11/13/2025 02:30:00,0,1372,0,425
11/13/2025 03:00:00,0,1308,0,392
11/13/2025 03:30:00,0,1338,0,423
11/13/2025 04:00:00,0,1242,0,375
11/13/2025 04:30:00,0,1252,0,395
11/13/2025 05:00:00,0,1292,0,376
11/13/2025 05:30:00,0,1302,0,381
11/13/2025 06:00:00,0,1193,0,341
11/13/2025 06:30:00,0,896,0,239
11/13/2025 07:00:00,0,1089,0,310
11/13/2025 07:30:00,0,1170,0,349
11/13/2025 08:00:00,0,982,0,302
11/13/2025 08:30:00,0,1019,0,335
11/13/2025 09:00:00,0,1107,0,405
11/13/2025 09:30:00,0,947,0,403
11/13/2025 10:00:00,0,931,0,397
11/13/2025 10:30:00,0,880,0,414
11/13/2025 11:00:00,0,872,0,427
11/13/2025 11:30:00,0,1045,0,443
11/13/2025 12:00:00,0,1013,0,411
11/13/2025 12:30:00,0,912,0,379
11/13/2025 13:00:00,0,724,0,336
11/13/2025 13:30:00,0,556,0,232
11/13/2025 14:00:00,0,413,0,259
11/13/2025 14:30:00,0,811,0,373
11/13/2025 15:00:00,0,813,0,399
11/13/2025 15:30:00,0,1463,0,489
11/13/2025 16:00:00,0,1499,0,495
11/13/2025 16:30:00,0,1417,0,468
11/13/2025 17:00:00,0,1372,0,445
11/13/2025 17:30:00,0,1003,0,278
